Month,month,Date,route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo
Jul,7,25,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,2.0,,
Jul,7,25,2.0,True,1.0,SFO,12:40,NRT,15:25,NH 7,"Non Stop, 10h 45m",All Nippon Airways ,1.0,"LM 40,000",
Jul,7,25,2.0,True,1.0,SFO,12:40,NRT,15:25,NH 7,"Non Stop, 10h 45m",All Nippon Airways ,2.0,,
Jul,7,27,1.0,True,1.0,SFO,12:40,NRT,15:25,NH 7,"Non Stop, 10h 45m",All Nippon Airways ,1.0,"LM 40,000",
Jul,7,27,1.0,True,1.0,SFO,12:40,NRT,15:25,NH 7,"Non Stop, 10h 45m",All Nippon Airways ,2.0,,
Jul,7,29,1.0,True,1.0,SFO,12:40,NRT,15:25,NH 7,"Non Stop, 10h 45m",All Nippon Airways ,1.0,"LM 40,000",
Jul,7,29,1.0,True,1.0,SFO,12:40,NRT,15:25,NH 7,"Non Stop, 10h 45m",All Nippon Airways ,2.0,,
Jul,7,30,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80
Jul,7,30,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,2.0,,
Jul,7,30,2.0,False,1.0,SFO,06:30,DEN,10:12,UA 1402,Non Stop,UNITED AIRLINES,1.0,"LM 5,740",
Jul,7,30,2.0,False,1.0,SFO,06:30,DEN,10:12,UA 1402,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,30,2.0,False,2.0,DEN,12:10,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,1.0,"LM 34,260",4 Seats left
Jul,7,30,2.0,False,2.0,DEN,12:10,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,2.0,,
