route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
2,False,1,NRT,16:30,MEX,14:15,NH 180,Non Stop,ALL NIPPON AIRWAYS,1,"LM 30,270",2 Seats left,Oct,10,09
2,False,1,NRT,16:30,MEX,14:15,NH 180,Non Stop,ALL NIPPON AIRWAYS,2,,,Oct,10,09
2,False,2,MEX,17:15,SFO,21:01,UA 1272,Non Stop,UNITED AIRLINES,1,"LM 9,730",,Oct,10,09
2,False,2,MEX,17:15,SFO,21:01,UA 1272,Non Stop,UNITED AIRLINES,2,,,Oct,10,09
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1,"LM 40,000",+ US$ 66.80,Oct,10,10
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2,,,Oct,10,10
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,1,"LM 40,000",,Oct,10,10
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,2,,,Oct,10,10
3,False,1,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,1,"LM 6,380",1 Seats left,Oct,10,10
3,False,1,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,2,,,Oct,10,10
3,False,2,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,1,"LM 33,620",,Oct,10,10
3,False,2,ICN,20:40,SFO,15:10,OZ 212,Non Stop,ASIANA AIRLINES,2,,,Oct,10,10
4,False,1,NRT,16:30,MEX,14:15,NH 180,Non Stop,ALL NIPPON AIRWAYS,1,"LM 30,270",1 Seats left,Oct,10,10
4,False,1,NRT,16:30,MEX,14:15,NH 180,Non Stop,ALL NIPPON AIRWAYS,2,,,Oct,10,10
4,False,2,MEX,17:15,SFO,21:01,UA 1272,Non Stop,UNITED AIRLINES,1,"LM 9,730",,Oct,10,10
4,False,2,MEX,17:15,SFO,21:01,UA 1272,Non Stop,UNITED AIRLINES,2,,,Oct,10,10
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1,"LM 40,000",+ US$ 66.80,Oct,10,11
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2,,,Oct,10,11
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,1,"LM 40,000",,Oct,10,11
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,2,,,Oct,10,11
1,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,1,"LM 8,940",1 Seats left,Oct,10,12
